Machine,Replicate,Volume,DyeVolume,Absorbance
SS3000,1,1,1,1.22
SS3000,1,2,1,0.672
SS3000,1,4,1,0.355
SS3000,1,6,1,0.255
SS3000,1,8,1,0.184
SS3000,1,12,1,0.122
SS3000,1,14,1,0.103
SS3000,1,16,1,0.09
SS3000,1,18,1,0.084
SS3000,1,20,1,0.08
SS3000,2,1,1,1.226
SS3000,2,2,1,0.68
SS3000,2,4,1,0.36
SS3000,2,6,1,0.232
SS3000,2,8,1,0.175
SS3000,2,12,1,0.122
SS3000,2,14,1,0.105
SS3000,2,16,1,0.088
SS3000,2,18,1,0.078
SS3000,2,20,1,0.073
SS3000,3,1,1,1.228
SS3000,3,2,1,0.687
SS3000,3,4,1,0.358
SS3000,3,6,1,0.237
SS3000,3,8,1,0.178
SS3000,3,12,1,0.12
SS3000,3,14,1,0.104
SS3000,3,16,1,0.092
SS3000,3,18,1,0.08
SS3000,3,20,1,0.078
Gen 5,1,1,1,1.35
Gen 5,1,2,1,0.686
Gen 5,1,4,1,0.347
Gen 5,1,6,1,0.233
Gen 5,1,8,1,0.174
Gen 5,1,12,1,0.116
Gen 5,1,14,1,0.102
Gen 5,1,16,1,0.088
Gen 5,1,18,1,0.078
Gen 5,1,20,1,0.071
Gen 5,2,1,1,1.359
Gen 5,2,2,1,0.693
Gen 5,2,4,1,0.352
Gen 5,2,6,1,0.235
Gen 5,2,8,1,0.175
Gen 5,2,12,1,0.117
Gen 5,2,14,1,0.1
Gen 5,2,16,1,0.088
Gen 5,2,18,1,0.078
Gen 5,2,20,1,0.071
Gen 5,3,1,1,1.363
Gen 5,3,2,1,0.702
Gen 5,3,4,1,0.35
Gen 5,3,6,1,0.234
Gen 5,3,8,1,0.176
Gen 5,3,12,1,0.116
Gen 5,3,14,1,0.1
Gen 5,3,16,1,0.088
Gen 5,3,18,1,0.077
Gen 5,3,20,1,0.071
SS3000,1,1,3,2.159
SS3000,1,4,3,1.104
SS3000,1,7,3,0.681
SS3000,1,10,3,0.492
SS3000,1,13,3,0.384
SS3000,1,16,3,0.317
SS3000,1,19,3,0.273
SS3000,1,22,3,0.236
SS3000,1,25,3,0.206
