PST,Temp_degC,Sp_Conductance,Salinity_ppt
2020-03-06T14:55:00Z,16.22,49442.8,32.3287
2020-03-06T14:55:10Z,16.23,49462,32.3428
2020-03-06T14:55:20Z,16.23,49462,32.3428
2020-03-06T14:55:30Z,16.23,49421.6,32.3132
2020-03-06T14:55:40Z,16.24,49455.9,32.3384
2020-03-06T14:55:50Z,16.28,49447.1,32.3319
2020-03-06T14:56:00Z,16.27,49453.1,32.3363
2020-03-06T14:56:10Z,16.28,49487.5,32.3615
2020-03-06T14:56:20Z,16.27,49453.1,32.3363
2020-03-06T14:56:30Z,16.25,49475.3,32.3525
2020-03-06T14:56:40Z,16.24,49466.1,32.3458
2020-03-06T14:56:50Z,16.25,49455.1,32.3377
2020-03-06T14:57:00Z,16.22,49523.6,32.388
2020-03-06T14:57:10Z,16.25,49470.1,32.3488
2020-03-06T14:57:20Z,16.27,49443,32.3288
2020-03-06T14:57:30Z,16.25,49475.3,32.3525
2020-03-06T14:57:40Z,16.25,49500.5,32.371
2020-03-06T14:57:50Z,16.24,49450.9,32.3347
2020-03-06T14:58:00Z,16.25,49470.1,32.3488
2020-03-06T14:58:10Z,16.29,49512,32.3794
2020-03-06T14:58:20Z,16.28,49431.9,32.3207
2020-03-06T14:58:30Z,16.29,49436,32.3238
2020-03-06T14:58:40Z,16.28,49512.9,32.3801
2020-03-06T14:58:50Z,16.29,49436,32.3238
2020-03-06T14:59:00Z,16.3,49495.7,32.3675
2020-03-06T14:59:10Z,16.3,49465.4,32.3453
2020-03-06T14:59:20Z,16.32,49463.4,32.3439
2020-03-06T14:59:30Z,16.32,49468.6,32.3476
2020-03-06T14:59:40Z,16.32,49514.1,32.381
2020-03-06T14:59:50Z,16.33,49472.7,32.3506
2020-03-06T15:00:00Z,16.33,49407,32.3025
2020-03-06T15:00:10Z,16.32,49498.9,32.3699
2020-03-06T15:00:20Z,16.33,49432.2,32.321
2020-03-06T15:00:30Z,16.32,49473.6,32.3513
2020-03-06T15:00:40Z,16.32,49468.6,32.3476
2020-03-06T15:00:50Z,16.32,49539.4,32.3996
2020-03-06T15:01:00Z,16.3,49500.9,32.3713
2020-03-06T15:01:10Z,16.32,49463.4,32.3439
2020-03-06T15:01:20Z,16.32,49493.9,32.3662
2020-03-06T15:01:30Z,16.34,49456.6,32.3389
2020-03-06T15:01:40Z,16.34,49431.3,32.3203
2020-03-06T15:01:50Z,16.35,49480.9,32.3567
2020-03-06T15:02:00Z,16.32,49483.8,32.3587
2020-03-06T15:02:10Z,16.35,49475.9,32.353
2020-03-06T15:02:20Z,16.35,49511.4,32.379
2020-03-06T15:02:30Z,16.35,49491.1,32.3641
2020-03-06T15:02:40Z,16.37,49443.6,32.3293
2020-03-06T15:02:50Z,16.35,49496.2,32.3679
2020-03-06T15:03:00Z,16.37,49494.2,32.3664
2020-03-06T15:03:10Z,16.37,49474.1,32.3516
2020-03-06T15:03:20Z,16.37,49529.8,32.3925
2020-03-06T15:03:30Z,16.37,49463.9,32.3442
2020-03-06T15:03:40Z,16.37,49489.2,32.3628
2020-03-06T15:03:50Z,16.37,49443.6,32.3293
2020-03-06T15:04:00Z,16.37,49468.9,32.3479
2020-03-06T15:04:10Z,16.35,49496.2,32.3679
2020-03-06T15:04:20Z,16.35,49491.1,32.3641
2020-03-06T15:04:30Z,16.37,49474.1,32.3516
2020-03-06T15:04:40Z,16.35,49475.9,32.353
2020-03-06T15:04:50Z,16.35,49465.7,32.3455
2020-03-06T15:05:00Z,16.35,49486,32.3604
2020-03-06T15:05:10Z,16.37,49463.9,32.3442
2020-03-06T15:05:20Z,16.35,49501.2,32.3715
2020-03-06T15:05:30Z,16.34,49476.8,32.3536
2020-03-06T15:05:40Z,16.35,49516.4,32.3827
