"Plot Title: 20739331"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20739331, SEN S/N: 20739331)","Specific Conductance, μS/cm (LGR S/N: 20739331)","Salinity, ppt (LGR S/N: 20739331)"
1,03/05/20 05:05:08 PM,23.09,0.0,0.0123
2,03/05/20 05:05:18 PM,23.09,0.0,0.0123
3,03/05/20 05:05:28 PM,23.13,0.0,0.0123
4,03/05/20 05:05:38 PM,23.23,0.0,0.0123
5,03/05/20 05:05:48 PM,23.23,0.0,0.0123
6,03/05/20 05:05:58 PM,23.31,0.0,0.0123
7,03/05/20 05:06:08 PM,23.38,0.0,0.0123
8,03/05/20 05:06:18 PM,23.38,0.0,0.0123
9,03/05/20 05:06:28 PM,23.35,0.0,0.0123
10,03/05/20 05:06:38 PM,23.38,0.0,0.0123
11,03/05/20 05:06:48 PM,23.43,0.0,0.0123
12,03/05/20 05:06:58 PM,24.03,51919.6,34.1518
13,03/05/20 05:07:08 PM,24.08,51667.7,33.9657
14,03/05/20 05:07:18 PM,24.04,51431.7,33.7915
15,03/05/20 05:07:28 PM,24.02,51314.5,33.7050
16,03/05/20 05:07:38 PM,23.98,51283.7,33.6823
17,03/05/20 05:07:48 PM,23.97,51204.6,33.6239
18,03/05/20 05:07:58 PM,24.08,51312.9,33.7038
19,03/05/20 05:08:08 PM,24.10,51119.5,33.5612
20,03/05/20 05:08:18 PM,24.08,51116.1,33.5587
21,03/05/20 05:08:28 PM,24.07,51072.7,33.5267
22,03/05/20 05:08:38 PM,24.05,51105.0,33.5505
23,03/05/20 05:08:48 PM,24.07,51096.4,33.5442
24,03/05/20 05:08:58 PM,24.07,51090.5,33.5398
25,03/05/20 05:09:08 PM,24.07,51037.1,33.5005
26,03/05/20 05:09:18 PM,24.07,51048.9,33.5092
27,03/05/20 05:09:28 PM,24.07,50966.0,33.4481
28,03/05/20 05:09:38 PM,24.08,51068.5,33.5236
29,03/05/20 05:09:48 PM,24.09,51052.4,33.5117
30,03/05/20 05:09:58 PM,24.09,51034.6,33.4986
31,03/05/20 05:10:08 PM,24.10,50988.8,33.4649
32,03/05/20 05:10:18 PM,24.10,50988.8,33.4649
33,03/05/20 05:10:28 PM,24.09,50993.1,33.4680
34,03/05/20 05:10:38 PM,24.10,50953.2,33.4387
35,03/05/20 05:10:48 PM,24.10,50935.5,33.4256
36,03/05/20 05:10:58 PM,24.10,50900.0,33.3995
37,03/05/20 05:11:08 PM,24.10,50882.3,33.3864
38,03/05/20 05:11:18 PM,24.02,0.0,0.0123
39,03/05/20 05:11:28 PM,23.89,0.0,0.0123
40,03/05/20 05:11:38 PM,23.77,0.0,0.0123
41,03/05/20 05:11:48 PM,23.69,0.0,0.0123
42,03/05/20 05:11:58 PM,23.60,0.0,0.0123
43,03/05/20 05:12:08 PM,23.53,0.0,0.0123
44,03/05/20 05:12:18 PM,23.46,0.0,0.0123
45,03/05/20 05:12:28 PM,23.44,0.0,0.0123
46,03/05/20 05:12:38 PM,23.38,0.0,0.0123
47,03/05/20 05:12:48 PM,23.33,0.0,0.0123
48,03/05/20 05:12:58 PM,23.26,0.0,0.0123
49,03/05/20 05:13:08 PM,23.20,0.0,0.0123
50,03/05/20 05:13:18 PM,23.14,0.0,0.0123
51,03/05/20 05:13:28 PM,23.06,0.0,0.0123
52,03/05/20 05:13:38 PM,23.03,0.0,0.0123
53,03/05/20 05:13:48 PM,22.98,0.0,0.0123
54,03/05/20 05:13:58 PM,22.94,0.0,0.0123
55,03/05/20 05:14:08 PM,22.87,0.0,0.0123
56,03/05/20 05:14:18 PM,22.84,0.0,0.0123
57,03/05/20 05:14:28 PM,22.77,0.0,0.0123
58,03/05/20 05:14:38 PM,22.72,0.0,0.0123
59,03/05/20 05:14:48 PM,22.66,0.0,0.0123
60,03/05/20 05:14:58 PM,22.61,0.0,0.0123
61,03/05/20 05:15:08 PM,22.57,0.0,0.0123
62,03/05/20 05:15:18 PM,22.51,0.0,0.0123
63,03/05/20 05:15:28 PM,22.46,0.0,0.0123
64,03/05/20 05:15:38 PM,22.42,0.0,0.0123
65,03/05/20 05:15:48 PM,22.36,0.0,0.0123
66,03/05/20 05:15:58 PM,22.32,0.0,0.0123
67,03/05/20 05:16:08 PM,22.27,0.0,0.0123
68,03/05/20 05:16:18 PM,22.25,0.0,0.0123
69,03/05/20 05:16:28 PM,22.22,0.0,0.0123
70,03/05/20 05:16:38 PM,22.21,0.0,0.0123
71,03/05/20 05:16:48 PM,22.16,0.0,0.0123
72,03/05/20 05:16:58 PM,22.11,0.0,0.0123
73,03/05/20 05:17:08 PM,22.10,0.0,0.0123
74,03/05/20 05:17:18 PM,22.05,0.0,0.0123
75,03/05/20 05:17:28 PM,22.01,0.0,0.0123
76,03/05/20 05:17:38 PM,21.98,0.0,0.0123
77,03/05/20 05:17:48 PM,21.96,0.0,0.0123
78,03/05/20 05:17:58 PM,21.92,0.0,0.0123
79,03/05/20 05:18:08 PM,21.86,0.0,0.0123
80,03/05/20 05:18:18 PM,21.85,0.0,0.0123
81,03/05/20 05:18:28 PM,21.83,0.0,0.0123
82,03/05/20 05:18:38 PM,21.83,0.0,0.0123
83,03/05/20 05:18:48 PM,21.80,0.0,0.0123
84,03/05/20 05:18:58 PM,21.75,0.0,0.0123
85,03/05/20 05:19:08 PM,21.72,0.0,0.0123
