"Plot Title: 20739331"
"#","Date Time, GMT-08:00","High Range, μS/cm (LGR S/N: 20739331, SEN S/N: 20739331)","Temp, °C (LGR S/N: 20739331, SEN S/N: 20739331)"
1,03/05/20 05:05:08 PM,0.0,23.09
2,03/05/20 05:05:18 PM,0.0,23.09
3,03/05/20 05:05:28 PM,0.0,23.13
4,03/05/20 05:05:38 PM,0.0,23.23
5,03/05/20 05:05:48 PM,0.0,23.23
6,03/05/20 05:05:58 PM,0.0,23.31
7,03/05/20 05:06:08 PM,0.0,23.38
8,03/05/20 05:06:18 PM,0.0,23.38
9,03/05/20 05:06:28 PM,0.0,23.35
10,03/05/20 05:06:38 PM,0.0,23.38
11,03/05/20 05:06:48 PM,0.0,23.43
12,03/05/20 05:06:58 PM,50972.1,24.03
13,03/05/20 05:07:08 PM,50775.4,24.08
14,03/05/20 05:07:18 PM,50503.0,24.04
15,03/05/20 05:07:28 PM,50367.7,24.02
16,03/05/20 05:07:38 PM,50297.3,23.98
17,03/05/20 05:07:48 PM,50209.6,23.97
18,03/05/20 05:07:58 PM,50426.5,24.08
19,03/05/20 05:08:08 PM,50256.4,24.10
20,03/05/20 05:08:18 PM,50233.0,24.08
21,03/05/20 05:08:28 PM,50180.4,24.07
22,03/05/20 05:08:38 PM,50192.1,24.05
23,03/05/20 05:08:48 PM,50203.7,24.07
24,03/05/20 05:08:58 PM,50197.9,24.07
25,03/05/20 05:09:08 PM,50145.4,24.07
26,03/05/20 05:09:18 PM,50157.0,24.07
27,03/05/20 05:09:28 PM,50075.5,24.07
28,03/05/20 05:09:38 PM,50186.2,24.08
29,03/05/20 05:09:48 PM,50180.4,24.09
30,03/05/20 05:09:58 PM,50162.9,24.09
31,03/05/20 05:10:08 PM,50127.9,24.10
32,03/05/20 05:10:18 PM,50127.9,24.10
33,03/05/20 05:10:28 PM,50122.1,24.09
34,03/05/20 05:10:38 PM,50092.9,24.10
35,03/05/20 05:10:48 PM,50075.5,24.10
36,03/05/20 05:10:58 PM,50040.6,24.10
37,03/05/20 05:11:08 PM,50023.1,24.10
38,03/05/20 05:11:18 PM,0.0,24.02
39,03/05/20 05:11:28 PM,0.0,23.89
40,03/05/20 05:11:38 PM,0.0,23.77
41,03/05/20 05:11:48 PM,0.0,23.69
42,03/05/20 05:11:58 PM,0.0,23.60
43,03/05/20 05:12:08 PM,0.0,23.53
44,03/05/20 05:12:18 PM,0.0,23.46
45,03/05/20 05:12:28 PM,0.0,23.44
46,03/05/20 05:12:38 PM,0.0,23.38
47,03/05/20 05:12:48 PM,0.0,23.33
48,03/05/20 05:12:58 PM,0.0,23.26
49,03/05/20 05:13:08 PM,0.0,23.20
50,03/05/20 05:13:18 PM,0.0,23.14
51,03/05/20 05:13:28 PM,0.0,23.06
52,03/05/20 05:13:38 PM,0.0,23.03
53,03/05/20 05:13:48 PM,0.0,22.98
54,03/05/20 05:13:58 PM,0.0,22.94
55,03/05/20 05:14:08 PM,0.0,22.87
56,03/05/20 05:14:18 PM,0.0,22.84
57,03/05/20 05:14:28 PM,0.0,22.77
58,03/05/20 05:14:38 PM,0.0,22.72
59,03/05/20 05:14:48 PM,0.0,22.66
60,03/05/20 05:14:58 PM,0.0,22.61
61,03/05/20 05:15:08 PM,0.0,22.57
62,03/05/20 05:15:18 PM,0.0,22.51
63,03/05/20 05:15:28 PM,0.0,22.46
64,03/05/20 05:15:38 PM,0.0,22.42
65,03/05/20 05:15:48 PM,0.0,22.36
66,03/05/20 05:15:58 PM,0.0,22.32
67,03/05/20 05:16:08 PM,0.0,22.27
68,03/05/20 05:16:18 PM,0.0,22.25
69,03/05/20 05:16:28 PM,0.0,22.22
70,03/05/20 05:16:38 PM,0.0,22.21
71,03/05/20 05:16:48 PM,0.0,22.16
72,03/05/20 05:16:58 PM,0.0,22.11
73,03/05/20 05:17:08 PM,0.0,22.10
74,03/05/20 05:17:18 PM,0.0,22.05
75,03/05/20 05:17:28 PM,0.0,22.01
76,03/05/20 05:17:38 PM,0.0,21.98
77,03/05/20 05:17:48 PM,0.0,21.96
78,03/05/20 05:17:58 PM,0.0,21.92
79,03/05/20 05:18:08 PM,0.0,21.86
80,03/05/20 05:18:18 PM,0.0,21.85
81,03/05/20 05:18:28 PM,0.0,21.83
82,03/05/20 05:18:38 PM,0.0,21.83
83,03/05/20 05:18:48 PM,0.0,21.80
84,03/05/20 05:18:58 PM,0.0,21.75
85,03/05/20 05:19:08 PM,0.0,21.72
86,03/05/20 05:19:18 PM,0.0,21.70
87,03/05/20 05:19:28 PM,0.0,21.71
88,03/05/20 05:19:38 PM,0.0,21.66
89,03/05/20 05:19:48 PM,0.0,21.66
90,03/05/20 05:19:58 PM,0.0,21.63
91,03/05/20 05:20:08 PM,0.0,21.65
92,03/05/20 05:20:18 PM,0.0,21.62
93,03/05/20 05:20:28 PM,0.0,21.58
