"Plot Title: 20739352"
"#","Date Time, GMT-08:00","High Range, μS/cm (LGR S/N: 20739352, SEN S/N: 20739352)","Temp, °C (LGR S/N: 20739352, SEN S/N: 20739352)"
1,11/17/20 10:23:10 AM,0.0,20.53
2,11/17/20 10:23:20 AM,0.0,20.54
3,11/17/20 10:23:30 AM,0.0,20.62
4,11/17/20 10:23:40 AM,0.0,20.62
5,11/17/20 10:23:50 AM,0.0,20.63
6,11/17/20 10:24:00 AM,0.0,20.74
7,11/17/20 10:24:10 AM,1321.7,21.28
8,11/17/20 10:24:20 AM,1329.7,21.32
9,11/17/20 10:24:30 AM,1325.9,21.47
10,11/17/20 10:24:40 AM,1324.9,21.44
11,11/17/20 10:24:50 AM,1323.8,21.42
12,11/17/20 10:25:00 AM,1323.8,21.41
13,11/17/20 10:25:10 AM,1323.8,21.42
14,11/17/20 10:25:20 AM,1323.3,21.43
15,11/17/20 10:25:30 AM,1323.3,21.44
16,11/17/20 10:25:40 AM,1323.8,21.44
17,11/17/20 10:25:50 AM,1323.8,21.46
18,11/17/20 10:26:00 AM,1323.8,21.47
19,11/17/20 10:26:10 AM,1323.8,21.48
20,11/17/20 10:26:20 AM,1323.8,21.48
21,11/17/20 10:26:30 AM,1323.8,21.49
22,11/17/20 10:26:40 AM,1323.8,21.49
23,11/17/20 10:26:50 AM,1324.3,21.51
24,11/17/20 10:27:00 AM,1324.3,21.51
25,11/17/20 10:27:10 AM,1324.3,21.52
26,11/17/20 10:27:20 AM,1324.3,21.52
27,11/17/20 10:27:30 AM,1324.9,21.52
28,11/17/20 10:27:40 AM,1324.9,21.53
29,11/17/20 10:27:50 AM,1324.9,21.53
30,11/17/20 10:28:00 AM,1324.9,21.54
31,11/17/20 10:28:10 AM,1325.4,21.54
32,11/17/20 10:28:20 AM,1325.4,21.54
33,11/17/20 10:28:30 AM,1324.9,21.56
34,11/17/20 10:28:40 AM,1325.4,21.56
35,11/17/20 10:28:50 AM,1325.9,21.56
36,11/17/20 10:29:00 AM,1325.9,21.56
37,11/17/20 10:29:10 AM,1325.9,21.57
38,11/17/20 10:29:20 AM,1325.9,21.57
39,11/17/20 10:29:30 AM,1325.9,21.57
40,11/17/20 10:29:40 AM,1325.9,21.57
41,11/17/20 10:29:50 AM,1325.9,21.57
42,11/17/20 10:30:00 AM,1325.9,21.58
43,11/17/20 10:30:10 AM,1325.9,21.58
44,11/17/20 10:30:20 AM,1325.9,21.58
45,11/17/20 10:30:30 AM,73.8,21.44
46,11/17/20 10:30:40 AM,157.8,21.23
47,11/17/20 10:30:50 AM,0.0,23.08
48,11/17/20 10:31:00 AM,0.0,21.81
49,11/17/20 10:31:10 AM,0.0,22.01
50,11/17/20 10:31:20 AM,0.0,21.87
51,11/17/20 10:31:30 AM,0.0,21.77
52,11/17/20 10:31:40 AM,0.0,21.78
53,11/17/20 10:31:50 AM,0.0,21.76
54,11/17/20 10:32:00 AM,0.0,21.74
55,11/17/20 10:32:10 AM,0.0,21.73
