date,Tprobe,Probe,Salprobe
2020-11-17T10:54:00Z,21,Orion,38.93
2020-11-17T11:45:00Z,20.8,Orion,39.1
2020-11-17T11:56:00Z,20.8,Orion,31.88
2020-11-17T12:11:00Z,20.8,Orion,31.9
2020-11-17T12:18:00Z,20.8,Orion,27.5
2020-11-17T12:22:00Z,20.8,Orion,27.51
2020-11-17T12:35:00Z,20.9,Orion,23.19
2020-11-17T12:53:00Z,20.9,Orion,23.19
2020-11-17T13:11:00Z,20.9,Orion,20.57
2020-11-17T13:22:00Z,20.9,Orion,20.59
2020-11-17T13:35:00Z,20.8,Orion,18.16
2020-11-17T13:39:00Z,20.7,Orion,16.12
2020-11-17T13:45:00Z,20.7,Orion,16.12
2020-11-17T13:59:00Z,20.7,Orion,12.98
2020-11-17T14:03:00Z,20.6,Orion,10.1
2020-11-17T14:14:00Z,20.6,Orion,10.1
