"Plot Title: 20739352"
"#","Date Time, GMT-08:00","High Range, μS/cm (LGR S/N: 20739352, SEN S/N: 20739352)","Temp, °C (LGR S/N: 20739352, SEN S/N: 20739352)"
1,11/17/20 10:49:50 AM,0.0,21.66
2,11/17/20 10:50:00 AM,41435.5,21.23
3,11/17/20 10:50:10 AM,41085.7,21.23
4,11/17/20 10:50:20 AM,40898.5,21.24
5,11/17/20 10:50:30 AM,40831.7,21.24
6,11/17/20 10:50:40 AM,40796.6,21.24
7,11/17/20 10:50:50 AM,40716.1,21.24
8,11/17/20 10:51:00 AM,40719.6,21.24
9,11/17/20 10:51:10 AM,40677.7,21.23
10,11/17/20 10:51:20 AM,40632.4,21.23
11,11/17/20 10:51:30 AM,40608.0,21.22
12,11/17/20 10:51:40 AM,40583.7,21.16
13,11/17/20 10:51:50 AM,40555.9,21.14
14,11/17/20 10:52:00 AM,40548.9,21.14
15,11/17/20 10:52:10 AM,40514.3,21.16
16,11/17/20 10:52:20 AM,40535.1,21.14
17,11/17/20 10:52:30 AM,40507.3,21.16
18,11/17/20 10:52:40 AM,40500.4,21.14
19,11/17/20 10:52:50 AM,40493.5,21.14
20,11/17/20 10:53:00 AM,40465.8,21.13
21,11/17/20 10:53:10 AM,40458.9,21.13
22,11/17/20 10:53:20 AM,40403.6,21.12
23,11/17/20 10:53:30 AM,40424.3,21.11
24,11/17/20 10:53:40 AM,40396.7,21.09
25,11/17/20 10:53:50 AM,40434.7,21.09
26,11/17/20 10:54:00 AM,40417.4,21.08
27,11/17/20 10:54:10 AM,40379.5,21.08
28,11/17/20 10:54:20 AM,40427.8,21.07
29,11/17/20 10:54:30 AM,40389.8,21.07
30,11/17/20 10:54:40 AM,40393.2,21.07
31,11/17/20 10:54:50 AM,40365.7,21.07
32,11/17/20 10:55:00 AM,40376.0,21.06
33,11/17/20 10:55:10 AM,40358.8,21.06
34,11/17/20 10:55:20 AM,40365.7,21.06
35,11/17/20 10:55:30 AM,40348.4,21.04
36,11/17/20 10:55:40 AM,40358.8,21.04
37,11/17/20 10:55:50 AM,40331.2,21.04
38,11/17/20 10:56:00 AM,40369.1,21.03
39,11/17/20 10:56:10 AM,40314.0,21.03
40,11/17/20 10:56:20 AM,40341.6,21.03
41,11/17/20 10:56:30 AM,40358.8,21.03
42,11/17/20 10:56:40 AM,40358.8,21.03
43,11/17/20 10:56:50 AM,40341.6,21.04
44,11/17/20 10:57:00 AM,40341.6,21.03
45,11/17/20 10:57:10 AM,40334.7,21.03
46,11/17/20 10:57:20 AM,40345.0,21.03
47,11/17/20 10:57:30 AM,40327.8,21.03
48,11/17/20 10:57:40 AM,40317.5,21.03
49,11/17/20 10:57:50 AM,40317.5,21.03
50,11/17/20 10:58:00 AM,40300.3,21.03
51,11/17/20 10:58:10 AM,40338.1,21.03
52,11/17/20 10:58:20 AM,40338.1,21.03
53,11/17/20 10:58:30 AM,40338.1,21.02
54,11/17/20 10:58:40 AM,40320.9,21.02
55,11/17/20 10:58:50 AM,40345.0,21.02
56,11/17/20 10:59:00 AM,40303.7,21.02
57,11/17/20 10:59:10 AM,40303.7,21.02
58,11/17/20 10:59:20 AM,40320.9,21.02
59,11/17/20 10:59:30 AM,40303.7,21.02
60,11/17/20 10:59:40 AM,40310.6,21.02
61,11/17/20 10:59:50 AM,40310.6,21.02
62,11/17/20 11:00:00 AM,40320.9,21.02
63,11/17/20 11:00:10 AM,40310.6,21.02
64,11/17/20 11:00:20 AM,40303.7,21.02
65,11/17/20 11:00:30 AM,40286.5,21.01
66,11/17/20 11:00:40 AM,40320.9,21.02
67,11/17/20 11:00:50 AM,40303.7,21.01
68,11/17/20 11:01:00 AM,40303.7,21.01
69,11/17/20 11:01:10 AM,40303.7,21.01
70,11/17/20 11:01:20 AM,40293.4,21.01
71,11/17/20 11:01:30 AM,40276.2,21.01
72,11/17/20 11:01:40 AM,40303.7,21.01
73,11/17/20 11:01:50 AM,40303.7,21.01
74,11/17/20 11:02:00 AM,40303.7,20.99
75,11/17/20 11:02:10 AM,40276.2,20.99
76,11/17/20 11:02:20 AM,40259.1,20.99
77,11/17/20 11:02:30 AM,40314.0,20.99
78,11/17/20 11:02:40 AM,40279.7,20.99
79,11/17/20 11:02:50 AM,40296.9,20.98
80,11/17/20 11:03:00 AM,40286.5,20.98
81,11/17/20 11:03:10 AM,40296.9,20.98
82,11/17/20 11:03:20 AM,40241.9,20.97
83,11/17/20 11:03:30 AM,40279.7,20.97
84,11/17/20 11:03:40 AM,40262.5,20.97
85,11/17/20 11:03:50 AM,40259.1,20.96
86,11/17/20 11:04:00 AM,40241.9,20.97
87,11/17/20 11:04:10 AM,40214.5,20.97
88,11/17/20 11:04:20 AM,40224.8,20.97
89,11/17/20 11:04:30 AM,40241.9,20.97
90,11/17/20 11:04:40 AM,40269.4,20.96
91,11/17/20 11:04:50 AM,40279.7,20.96
92,11/17/20 11:05:00 AM,40235.1,20.96
93,11/17/20 11:05:10 AM,40218.0,20.96
94,11/17/20 11:05:20 AM,40235.1,20.96
95,11/17/20 11:05:30 AM,40252.2,20.96
96,11/17/20 11:05:40 AM,40269.4,20.97
97,11/17/20 11:05:50 AM,40228.2,20.96
98,11/17/20 11:06:00 AM,40262.5,20.96
99,11/17/20 11:06:10 AM,40269.4,20.96
100,11/17/20 11:06:20 AM,40262.5,20.96
101,11/17/20 11:06:30 AM,40269.4,20.94
102,11/17/20 11:06:40 AM,40245.4,20.96
103,11/17/20 11:06:50 AM,40235.1,20.94
104,11/17/20 11:07:00 AM,40235.1,20.94
105,11/17/20 11:07:10 AM,40252.2,20.94
106,11/17/20 11:07:20 AM,40245.4,20.96
107,11/17/20 11:07:30 AM,40235.1,20.94
108,11/17/20 11:07:40 AM,40235.1,20.94
109,11/17/20 11:07:50 AM,40218.0,20.94
110,11/17/20 11:08:00 AM,40228.2,20.94
111,11/17/20 11:08:10 AM,40218.0,20.93
112,11/17/20 11:08:20 AM,40245.4,20.93
113,11/17/20 11:08:30 AM,40218.0,20.94
114,11/17/20 11:08:40 AM,40228.2,20.93
115,11/17/20 11:08:50 AM,40238.5,20.94
116,11/17/20 11:09:00 AM,40218.0,20.94
117,11/17/20 11:09:10 AM,40228.2,20.93
118,11/17/20 11:09:20 AM,40221.4,20.93
119,11/17/20 11:09:30 AM,40218.0,20.93
120,11/17/20 11:09:40 AM,40228.2,20.93
121,11/17/20 11:09:50 AM,40221.4,20.93
122,11/17/20 11:10:00 AM,40194.0,20.93
123,11/17/20 11:10:10 AM,40238.5,20.93
124,11/17/20 11:10:20 AM,40238.5,20.93
125,11/17/20 11:10:30 AM,40183.7,20.93
126,11/17/20 11:10:40 AM,40238.5,20.93
127,11/17/20 11:10:50 AM,40194.0,20.93
128,11/17/20 11:11:00 AM,40211.1,20.93
129,11/17/20 11:11:10 AM,40248.8,20.92
130,11/17/20 11:11:20 AM,40238.5,20.93
131,11/17/20 11:11:30 AM,40238.5,20.92
132,11/17/20 11:11:40 AM,40238.5,20.92
133,11/17/20 11:11:50 AM,40238.5,20.93
134,11/17/20 11:12:00 AM,40221.4,20.92
135,11/17/20 11:12:10 AM,40221.4,20.92
136,11/17/20 11:12:20 AM,40221.4,20.93
137,11/17/20 11:12:30 AM,40231.7,20.93
138,11/17/20 11:12:40 AM,40214.5,20.92
139,11/17/20 11:12:50 AM,40214.5,20.93
140,11/17/20 11:13:00 AM,40214.5,20.92
141,11/17/20 11:13:10 AM,40214.5,20.92
142,11/17/20 11:13:20 AM,40221.4,20.92
143,11/17/20 11:13:30 AM,40214.5,20.93
144,11/17/20 11:13:40 AM,40194.0,20.92
145,11/17/20 11:13:50 AM,40231.7,20.92
146,11/17/20 11:14:00 AM,40221.4,20.92
