Serial Number:20719195 --,,,
,,,
"Date Time, GMT -0800","Temp, (*C)",mV,pH
3/3/20 10:42,22.57,-98.52,8.22
3/3/20 10:42,22.57,-96.36,8.19
3/3/20 10:42,22.57,-94.42,8.15
3/3/20 10:42,22.57,-92.97,8.13
3/3/20 10:42,22.57,-91.35,8.1
3/3/20 10:42,22.57,-90.85,8.09
3/3/20 10:42,22.57,-89.86,8.07
3/3/20 10:42,22.57,-89.1,8.06
3/3/20 10:42,22.57,-88.46,8.05
3/3/20 10:43,22.57,-87.88,8.04
3/3/20 10:43,22.6,-87.38,8.03
3/3/20 10:43,22.6,-86.92,8.02
3/3/20 10:43,22.6,-86.6,8.02
3/3/20 10:43,22.6,-86.28,8.01
3/3/20 10:43,22.6,-86.03,8.01
3/3/20 10:43,22.6,-85.72,8
3/3/20 10:43,22.6,-85.57,8
3/3/20 10:43,22.6,-85.36,8
3/3/20 10:43,22.6,-85.19,7.99
3/3/20 10:43,22.6,-85.03,7.99
3/3/20 10:43,22.6,-84.91,7.99
3/3/20 10:44,22.6,-84.67,7.98
3/3/20 10:44,22.6,-84.53,7.98
3/3/20 10:44,22.6,-84.52,7.98
3/3/20 10:44,22.6,-84.47,7.98
3/3/20 10:44,22.6,-84.3,7.98
3/3/20 10:44,22.6,-84.25,7.98
3/3/20 10:44,22.6,-84.22,7.98
3/3/20 10:44,22.6,-84.19,7.97
3/3/20 10:44,22.6,-84.13,7.97
3/3/20 10:44,22.6,-84.11,7.97
3/3/20 10:44,22.6,-84.08,7.97
3/3/20 10:44,22.6,-84.05,7.97
3/3/20 10:45,22.6,-84.03,7.97
3/3/20 10:45,22.6,-84.05,7.97
3/3/20 10:45,22.6,-83.99,7.97
3/3/20 10:45,22.6,-83.97,7.97
3/3/20 10:45,22.6,-83.92,7.97
3/3/20 10:45,22.6,-83.96,7.97
3/3/20 10:45,22.6,-83.92,7.97
3/3/20 10:45,22.62,-83.91,7.97
3/3/20 10:45,22.62,-83.88,7.97
3/3/20 10:45,22.62,-83.85,7.97
3/3/20 10:45,22.62,-83.8,7.97
3/3/20 10:45,22.64,-83.72,7.97
3/3/20 10:46,22.64,-80.3,7.91
3/3/20 10:46,22.64,-83.6,7.96
3/3/20 10:46,22.64,-83.75,7.97
3/3/20 10:46,22.67,-84.25,7.98
3/3/20 10:46,22.67,-83.75,7.97
3/3/20 10:46,22.67,-83.74,7.97
3/3/20 10:46,22.69,-83.63,7.96
3/3/20 10:46,22.69,-83.69,7.97
3/3/20 10:46,22.69,-83.71,7.97
3/3/20 10:46,22.72,-83.67,7.97
3/3/20 10:46,22.72,-83.67,7.97
3/3/20 10:46,22.72,-83.66,7.97
3/3/20 10:47,22.74,-83.64,7.96
3/3/20 10:47,22.74,-83.64,7.96
3/3/20 10:47,22.74,-83.63,7.96
3/3/20 10:47,22.76,-83.63,7.96
3/3/20 10:47,22.76,-83.63,7.96
3/3/20 10:47,22.76,-83.63,7.96
3/3/20 10:47,22.79,-83.61,7.96
3/3/20 10:47,22.79,-83.61,7.96
3/3/20 10:47,22.79,-83.55,7.96
3/3/20 10:47,22.81,-83.57,7.96
3/3/20 10:47,22.81,-83.57,7.96
3/3/20 10:47,22.81,-83.57,7.96
3/3/20 10:48,22.81,-83.57,7.96
3/3/20 10:48,22.84,-83.57,7.96
3/3/20 10:48,22.84,-83.55,7.96
3/3/20 10:48,22.84,-83.55,7.96
3/3/20 10:48,22.84,-83.53,7.96
3/3/20 10:48,22.84,-83.53,7.96
3/3/20 10:48,22.86,-83.53,7.96
3/3/20 10:48,22.86,-83.55,7.96
3/3/20 10:48,22.86,-83.55,7.96
3/3/20 10:48,22.86,-83.55,7.96
3/3/20 10:48,22.86,-83.55,7.96
3/3/20 10:48,22.88,-83.55,7.96
3/3/20 10:49,22.88,-83.53,7.96
3/3/20 10:49,22.88,-83.53,7.96
3/3/20 10:49,22.88,-83.55,7.96
3/3/20 10:49,22.88,-83.53,7.96
3/3/20 10:49,22.91,-83.53,7.96
3/3/20 10:49,22.91,-83.53,7.96
3/3/20 10:49,22.91,-83.55,7.96
3/3/20 10:49,22.91,-83.55,7.96
3/3/20 10:49,22.91,-83.55,7.96
3/3/20 10:49,22.91,-83.53,7.96
3/3/20 10:49,22.91,-83.53,7.96
3/3/20 10:49,22.93,-83.53,7.96
3/3/20 10:50,22.93,-83.53,7.96
3/3/20 10:50,22.93,-83.55,7.96
3/3/20 10:50,22.93,-83.53,7.96
3/3/20 10:50,22.93,-83.55,7.96
3/3/20 10:50,22.93,-83.55,7.96
3/3/20 10:50,22.93,-83.55,7.96
3/3/20 10:50,22.96,-83.55,7.96
3/3/20 10:50,22.96,-83.55,7.96
3/3/20 10:50,22.96,-83.53,7.96
3/3/20 10:50,22.96,-83.55,7.96
3/3/20 10:50,22.96,-83.55,7.96
3/3/20 10:50,22.96,-83.55,7.96
3/3/20 10:51,22.96,-83.55,7.96
3/3/20 10:51,22.98,-83.55,7.96
3/3/20 10:51,22.98,-83.55,7.96
3/3/20 10:51,22.98,-83.55,7.96
3/3/20 10:51,22.98,-83.55,7.96
3/3/20 10:51,22.98,-83.55,7.96
3/3/20 10:51,22.98,-83.55,7.96
3/3/20 10:51,22.98,-83.55,7.96
3/3/20 10:51,22.98,-83.55,7.96
3/3/20 10:51,23,-83.57,7.96
3/3/20 10:51,23,-83.55,7.96
3/3/20 10:51,23,-83.55,7.96
3/3/20 10:52,23,-83.55,7.96
3/3/20 10:52,23,-83.53,7.96
3/3/20 10:52,23,-83.55,7.96
3/3/20 10:52,23,-83.57,7.96
3/3/20 10:52,23.03,-83.57,7.96
3/3/20 10:52,23.03,-83.57,7.96
3/3/20 10:52,23.03,-83.58,7.96
3/3/20 10:52,23.03,-83.58,7.96
3/3/20 10:52,23.03,-83.58,7.96
3/3/20 10:52,23.03,-83.58,7.96
3/3/20 10:52,23.03,-83.57,7.96
3/3/20 10:52,23.05,-83.58,7.96
3/3/20 10:53,23.05,-83.57,7.96
3/3/20 10:53,23.05,-83.58,7.96
3/3/20 10:53,23.05,-83.58,7.96
3/3/20 10:53,23.05,-83.58,7.96
3/3/20 10:53,23.05,-83.58,7.96
3/3/20 10:53,23.05,-82.82,7.95
3/3/20 10:53,23.08,-83.63,7.96
3/3/20 10:53,23.08,-83.6,7.96
3/3/20 10:53,23.08,-83.6,7.96
3/3/20 10:53,23.08,-83.6,7.96
3/3/20 10:53,23.08,-83.6,7.96
3/3/20 10:53,23.08,-83.6,7.96
3/3/20 10:54,23.08,-83.6,7.96
3/3/20 10:54,23.08,-83.6,7.96
3/3/20 10:54,23.1,-83.6,7.96
3/3/20 10:54,23.1,-83.6,7.96
3/3/20 10:54,23.1,-83.58,7.96
3/3/20 10:54,23.1,-83.58,7.96
3/3/20 10:54,23.1,-83.58,7.96
3/3/20 10:54,23.1,-83.58,7.96
3/3/20 10:54,23.1,-83.58,7.96
3/3/20 10:54,23.1,-83.58,7.96
3/3/20 10:54,23.1,-83.58,7.96
3/3/20 10:54,23.1,-83.58,7.96
3/3/20 10:55,23.1,-83.58,7.96
3/3/20 10:55,23.12,-83.6,7.96
3/3/20 10:55,23.12,-83.6,7.96
3/3/20 10:55,23.12,-83.58,7.96
3/3/20 10:55,23.12,-83.58,7.96
3/3/20 10:55,23.12,-83.58,7.96
3/3/20 10:55,23.12,-83.58,7.96
3/3/20 10:55,23.12,-83.58,7.96
3/3/20 10:55,23.12,-83.58,7.96
3/3/20 10:55,23.12,-89.5,8.06
3/3/20 10:55,23.12,-83.63,7.96
3/3/20 10:55,23.12,-83.61,7.96
3/3/20 10:56,23.12,-83.61,7.96
3/3/20 10:56,23.12,-83.6,7.96
3/3/20 10:56,23.15,-83.61,7.96
3/3/20 10:56,23.15,-83.61,7.96
3/3/20 10:56,23.15,-83.61,7.96
3/3/20 10:56,23.15,-83.61,7.96
3/3/20 10:56,23.15,-83.61,7.96
3/3/20 10:56,23.15,-85.25,7.99
3/3/20 10:56,23.17,-83.61,7.96
3/3/20 10:56,23.17,-83.64,7.96
3/3/20 10:56,23.17,-83.63,7.96
3/3/20 10:56,23.17,-83.63,7.96
3/3/20 10:57,23.17,-84.13,7.97
3/3/20 10:57,23.17,-83.8,7.97
3/3/20 10:57,23.17,-83.72,7.96
3/3/20 10:57,23.17,-83.67,7.96
3/3/20 10:57,23.2,-83.66,7.96
3/3/20 10:57,23.2,-83.69,7.96
3/3/20 10:57,23.2,-83.66,7.96
3/3/20 10:57,23.2,-83.64,7.96
3/3/20 10:57,23.2,-83.63,7.96
3/3/20 10:57,23.2,-83.74,7.97
3/3/20 10:57,23.2,-83.64,7.96
3/3/20 10:57,23.2,-83.63,7.96
3/3/20 10:58,23.2,-83.63,7.96
3/3/20 10:58,23.2,-83.63,7.96
3/3/20 10:58,23.22,-83.63,7.96
3/3/20 10:58,23.22,-83.61,7.96
3/3/20 10:58,23.22,-83.61,7.96
3/3/20 10:58,23.22,-83.61,7.96
3/3/20 10:58,23.22,-83.61,7.96
3/3/20 10:58,23.22,-83.63,7.96
3/3/20 10:58,23.22,-83.61,7.96
3/3/20 10:58,23.22,-83.35,7.96
3/3/20 10:58,23.22,-82.19,7.94
3/3/20 10:58,23.22,-83.67,7.96
3/3/20 10:59,23.22,-83.63,7.96
3/3/20 10:59,23.22,-83.63,7.96
3/3/20 10:59,23.24,-83.63,7.96
3/3/20 10:59,23.24,-83.63,7.96
3/3/20 10:59,23.24,-83.63,7.96
3/3/20 10:59,23.24,-83.63,7.96
3/3/20 10:59,23.24,-83.63,7.96
3/3/20 10:59,23.24,-83.63,7.96
3/3/20 10:59,23.24,-83.63,7.96
3/3/20 10:59,23.24,-83.63,7.96
3/3/20 10:59,23.27,-83.63,7.96
3/3/20 10:59,23.27,-83.63,7.96
3/3/20 11:00,23.27,-83.63,7.96
3/3/20 11:00,23.27,-83.63,7.96
3/3/20 11:00,23.27,-83.63,7.96
3/3/20 11:00,23.27,-83.63,7.96
3/3/20 11:00,23.27,-83.63,7.96
3/3/20 11:00,23.27,-83.63,7.96
3/3/20 11:00,23.27,-83.63,7.96
3/3/20 11:00,23.27,-83.66,7.96
3/3/20 11:00,23.29,-83.64,7.96
3/3/20 11:00,23.29,-83.64,7.96
3/3/20 11:00,23.29,-83.64,7.96
3/3/20 11:00,23.29,-83.64,7.96
