Unix_Timestamp_second,UTC_Date_Time,PST,Battery_volts,Temp_degC,PAR,Ax_g,Ay_g,Az_g
1581381960,           2020-02-11 00:46:00,2020-02-10T16:46:00Z,3.51,22.751,6.24178,1080,83,180
1581382020,           2020-02-11 00:47:00,2020-02-10T16:47:00Z,3.51,22.835,6.39661,1055,68,240
1581382080,           2020-02-11 00:48:00,2020-02-10T16:48:00Z,3.51,22.86,6.08695,1072,78,200
1581382140,           2020-02-11 00:49:00,2020-02-10T16:49:00Z,3.51,22.91,6.09624,1039,62,259
1581382200,           2020-02-11 00:50:00,2020-02-10T16:50:00Z,3.51,22.894,6.02193,1091,88,158
1581382260,           2020-02-11 00:51:00,2020-02-10T16:51:00Z,3.51,22.902,5.83613,1063,70,228
1581382320,           2020-02-11 00:52:00,2020-02-10T16:52:00Z,3.5,22.919,6.1334,1063,76,231
1581382380,           2020-02-11 00:53:00,2020-02-10T16:53:00Z,3.5,22.91,6.00644,1052,72,240
1581382440,           2020-02-11 00:54:00,2020-02-10T16:54:00Z,3.5,22.902,5.91664,1072,84,204
1581382500,           2020-02-11 00:55:00,2020-02-10T16:55:00Z,3.5,22.885,6.03741,1072,83,199
1581382560,           2020-02-11 00:56:00,2020-02-10T16:56:00Z,3.5,22.86,5.95999,1041,65,259
1581382620,           2020-02-11 00:57:00,2020-02-10T16:57:00Z,3.5,22.86,5.69059,1070,88,211
1581382680,           2020-02-11 00:58:00,2020-02-10T16:58:00Z,3.5,22.86,6.09934,1043,64,260
1581382740,           2020-02-11 00:59:00,2020-02-10T16:59:00Z,3.5,22.81,6.0467,1100,103,113
1581382800,           2020-02-11 01:00:00,2020-02-10T17:00:00Z,3.5,22.827,5.97548,1015,60,271
1581382860,           2020-02-11 01:01:00,2020-02-10T17:01:00Z,3.5,22.81,6.05289,1068,81,216
1581382920,           2020-02-11 01:02:00,2020-02-10T17:02:00Z,3.5,22.785,5.82065,1086,96,176
1581382980,           2020-02-11 01:03:00,2020-02-10T17:03:00Z,3.5,22.768,5.7711,1102,103,120
1581383040,           2020-02-11 01:04:00,2020-02-10T17:04:00Z,3.5,22.76,6.26656,1059,76,236
1581383100,           2020-02-11 01:05:00,2020-02-10T17:05:00Z,3.49,22.751,6.27275,1072,81,208
1581383160,           2020-02-11 01:06:00,2020-02-10T17:06:00Z,3.49,22.726,6.30991,1088,96,160
1581383220,           2020-02-11 01:07:00,2020-02-10T17:07:00Z,3.49,22.718,5.91664,1086,92,172
1581383280,           2020-02-11 01:08:00,2020-02-10T17:08:00Z,3.49,22.701,5.93832,1100,96,134
1581383340,           2020-02-11 01:09:00,2020-02-10T17:09:00Z,3.49,22.718,6.17676,1110,104,92
1581383400,           2020-02-11 01:10:00,2020-02-10T17:10:00Z,3.49,22.718,6.26036,1100,96,136
1581383460,           2020-02-11 01:11:00,2020-02-10T17:11:00Z,3.49,22.685,5.93832,1072,80,208
1581383520,           2020-02-11 01:12:00,2020-02-10T17:12:00Z,3.49,22.676,5.81136,1104,104,108
1581383580,           2020-02-11 01:13:00,2020-02-10T17:13:00Z,3.49,22.659,5.99096,1100,102,120
1581383640,           2020-02-11 01:14:00,2020-02-10T17:14:00Z,3.49,22.668,5.94451,1088,96,160
1581383700,           2020-02-11 01:15:00,2020-02-10T17:15:00Z,3.49,22.643,5.93522,1086,92,167
