7530-428102
OS REV: 1.05 Sensor Cal: 1572940800
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1583358000, +3.43, +16.937, +167.97014, +1027.000, -32.000, +252.000
1583358060, +3.43, +16.954, +168.57707, +1035.000, -28.000, +246.000
1583358120, +3.43, +16.954, +167.76267, +1039.000, -29.000, +241.000
1583358180, +3.43, +16.971, +168.34793, +1043.000, -26.000, +240.000
1583358240, +3.43, +16.928, +167.76887, +1032.000, -32.000, +248.000
1583358300, +3.43, +16.954, +168.39438, +1038.000, -28.000, +241.000
1583358360, +3.43, +16.945, +167.85247, +1038.000, -25.000, +246.000
1583358420, +3.43, +16.945, +167.90821, +1036.000, -29.000, +240.000
1583358480, +3.43, +16.945, +168.43463, +1038.000, -32.000, +246.000
1583358540, +3.43, +16.962, +168.52134, +1036.000, -32.000, +248.000
1583358600, +3.43, +16.962, +168.53372, +1033.000, -29.000, +246.000
1583358660, +3.43, +16.988, +167.77816, +1032.000, -32.000, +246.000
1583358720, +3.43, +16.962, +168.13736, +1031.000, -29.000, +246.000
1583358780, +3.43, +16.971, +167.71932, +1039.000, -32.000, +243.000
1583358840, +3.43, +16.971, +168.38199, +1039.000, -26.000, +241.000
1583358900, +3.43, +16.945, +167.89583, +1036.000, -32.000, +240.000
1583358960, +3.43, +16.954, +167.75958, +1038.000, -24.000, +244.000
1583359020, +3.43, +16.962, +167.52424, +1036.000, -28.000, +244.000
1583359080, +3.43, +16.937, +170.11608, +1039.000, -28.000, +243.000
1583359140, +3.43, +16.937, +168.62972, +1039.000, -29.000, +248.000
1583359200, +3.43, +16.945, +154.95211, +1038.000, -26.000, +240.000
1583359260, +3.43, +16.954, +151.19285, +1040.000, -29.000, +240.000
1583359320, +3.43, +16.954, +148.98809, +1033.000, -32.000, +246.000
1583359380, +3.43, +16.920, +150.96680, +1031.000, -29.000, +248.000
1583359440, +3.43, +16.954, +151.11234, +1033.000, -29.000, +243.000
1583359500, +3.43, +16.937, +150.77482, +1031.000, -32.000, +246.000
1583359560, +3.43, +16.954, +151.80598, +1036.000, -26.000, +248.000
1583359620, +3.43, +16.971, +150.76243, +1038.000, -29.000, +240.000
1583359680, +3.43, +16.962, +151.48703, +1039.000, -25.000, +240.000
1583359740, +3.43, +16.996, +150.91726, +1030.000, -29.000, +248.000
1583359800, +3.43, +16.954, +150.21743, +1032.000, -32.000, +248.000
1583359860, +3.43, +16.971, +150.91416, +1036.000, -28.000, +240.000
1583359920, +3.43, +16.954, +151.51490, +1031.000, -29.000, +248.000
1583359980, +3.43, +16.954, +151.23001, +1025.000, -29.000, +248.000
1583360040, +3.43, +16.962, +151.86172, +1032.000, -26.000, +243.000
1583360100, +3.43, +16.954, +150.96680, +1039.000, -25.000, +241.000
1583360160, +3.43, +16.954, +151.10305, +1036.000, -28.000, +246.000
1583360220, +3.43, +16.954, +151.65425, +1040.000, -25.000, +243.000
1583360280, +3.43, +16.954, +150.42800, +1036.000, -29.000, +243.000
1583360340, +3.43, +16.954, +151.21143, +1039.000, -32.000, +246.000
1583360400, +3.43, +16.954, +151.26098, +1032.000, -32.000, +246.000
1583360460, +3.43, +16.945, +150.86462, +1036.000, -29.000, +248.000
1583360520, +3.43, +16.937, +150.94513, +1036.000, -29.000, +246.000
1583360580, +3.43, +16.962, +151.38175, +1036.000, -26.000, +244.000
1583360640, +3.43, +16.962, +150.99777, +1036.000, -29.000, +248.000
1583360700, +3.43, +16.962, +151.10305, +1032.000, -28.000, +246.000
1583360760, +3.43, +16.945, +151.09686, +1036.000, -28.000, +248.000
1583360820, +3.43, +16.928, +150.93274, +1043.000, -25.000, +240.000
