Serial Number:20555870 --

"Date Time, GMT -0800","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2020-03-02 13:32:00,22.56,175, , , , , 
2020-03-02 13:33:00,22.69,123, , , , , 
2020-03-02 13:34:00,22.86,128, , , , , 
2020-03-02 13:35:00,23.03,126, , , , , 
2020-03-02 13:36:00,23.12,119, , , , , 
2020-03-02 13:37:00,23.29,128, , , , , 
2020-03-02 13:38:00,23.38,137, , , , , 
2020-03-02 13:39:00,23.42,93, , , , , 
2020-03-02 13:40:00,23.42,14, , , , , 
2020-03-02 13:41:00,23.59,"2,242", , , , , 
2020-03-02 13:42:00,22.82,"4,402", , , , , 
2020-03-02 13:43:00,22.01,"4,236", , , , , 
2020-03-02 13:44:00,21.40,234, , , , , 
2020-03-02 13:45:00,21.15,"5,714", , , , , 
2020-03-02 13:46:00,20.03,"1,649", , , , , 
2020-03-02 13:47:00,19.26,690, , , , , 
2020-03-02 13:48:00,18.79,"9,677", , , , , 
2020-03-02 13:49:00,18.40,"5,048", , , , , 
2020-03-02 13:50:00,18.10,557, , , , , 
2020-03-02 13:51:00,17.97,"1,722", , , , , 
2020-03-02 13:52:00,17.89,"2,036", , , , , 
2020-03-02 13:53:00,17.97,"24,883", , , , , 
2020-03-02 13:54:00,17.84,"4,364", , , , , 
2020-03-02 13:55:00,17.80,"5,020", , , , , 
2020-03-02 13:56:00,17.80,"7,204", , , , , 
2020-03-02 13:57:00,17.84,"7,222", , , , , 
2020-03-02 13:58:00,17.76,"7,242", , , , , 
2020-03-02 13:59:00,17.76,"7,227", , , , , 
2020-03-02 14:00:00,17.63,159, , , , , 
2020-03-02 14:01:00,17.59,159, , , , , 
2020-03-02 14:02:00,17.54,159, , , , , 
2020-03-02 14:03:00,17.54,159, , , , , 
2020-03-02 14:04:00,17.50,159, , , , , 
2020-03-02 14:05:00,17.46,159, , , , , 
2020-03-02 14:06:00,17.46,159, , , , , 
2020-03-02 14:07:00,17.46,159, , , , , 
2020-03-02 14:08:00,17.46,159, , , , , 
2020-03-02 14:09:00,17.46,159, , , , , 
2020-03-02 14:10:00,17.41,160, , , , , 
2020-03-02 14:11:00,17.41,159, , , , , 
