Unix_Timestamp_second,UTC_Date_Time,PST,Battery_volts,Temp_degC,DO_mg_L,DO_Saturation_percent,Q
1583535300,           2020-03-06 22:55:00,2020-03-06T14:55:00Z,3.46,16.638,8.105814,101.281172,0.967
1583535360,           2020-03-06 22:56:00,2020-03-06T14:56:00Z,3.46,16.621,8.468024,105.771949,0.968
1583535420,           2020-03-06 22:57:00,2020-03-06T14:57:00Z,3.46,16.638,8.525775,106.528528,0.968
1583535480,           2020-03-06 22:58:00,2020-03-06T14:58:00Z,3.46,16.604,8.450544,105.518698,0.967
1583535540,           2020-03-06 22:59:00,2020-03-06T14:59:00Z,3.46,16.621,8.449122,105.535851,0.967
1583535600,           2020-03-06 23:00:00,2020-03-06T15:00:00Z,3.46,16.613,8.456414,105.610492,0.967
1583535660,           2020-03-06 23:01:00,2020-03-06T15:01:00Z,3.46,16.63,8.465676,105.76114,0.968
1583535720,           2020-03-06 23:02:00,2020-03-06T15:02:00Z,3.46,16.638,8.483039,105.994551,0.967
1583535780,           2020-03-06 23:03:00,2020-03-06T15:03:00Z,3.46,16.638,8.499476,106.199927,0.968
1583535840,           2020-03-06 23:04:00,2020-03-06T15:04:00Z,3.46,16.664,8.483379,106.052412,0.967
1583535900,           2020-03-06 23:05:00,2020-03-06T15:05:00Z,3.46,16.664,8.502282,106.288724,0.967
1583535960,           2020-03-06 23:06:00,2020-03-06T15:06:00Z,3.46,16.681,8.541134,106.809713,0.967
1583536020,           2020-03-06 23:07:00,2020-03-06T15:07:00Z,3.46,16.664,8.572964,107.172322,0.968
1583536080,           2020-03-06 23:08:00,2020-03-06T15:08:00Z,3.46,16.664,8.574607,107.192871,0.967
1583536140,           2020-03-06 23:09:00,2020-03-06T15:09:00Z,3.46,16.689,8.592198,107.464987,0.968
1583536200,           2020-03-06 23:10:00,2020-03-06T15:10:00Z,3.46,16.689,8.602882,107.598625,0.967
1583536260,           2020-03-06 23:11:00,2020-03-06T15:11:00Z,3.46,16.689,8.593841,107.485547,0.967
1583536320,           2020-03-06 23:12:00,2020-03-06T15:12:00Z,3.46,16.689,8.598773,107.547226,0.967
1583536380,           2020-03-06 23:13:00,2020-03-06T15:13:00Z,3.46,16.689,8.61028,107.691143,0.968
1583536440,           2020-03-06 23:14:00,2020-03-06T15:14:00Z,3.46,16.706,8.580916,107.359343,0.967
1583536500,           2020-03-06 23:15:00,2020-03-06T15:15:00Z,3.46,16.715,8.567062,107.204754,0.967
