7450-735719
OS REV: 1.05 Sensor Cal: 1573748658
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1583374380,+3.33,+23.397, +7.934,+0.974
1583374440,+3.34,+22.510, +8.252,+0.975
1583374500,+3.35,+21.958, +8.366,+0.975
1583374560,+3.35,+21.590, +8.450,+0.977
1583374620,+3.36,+21.306, +8.464,+0.975
1583374680,+3.36,+21.105, +8.508,+0.976
1583374740,+3.36,+20.946, +8.537,+0.976
1583374800,+3.37,+20.846, +8.547,+0.975
1583374860,+3.37,+20.746, +8.570,+0.977
1583374920,+3.37,+20.704, +8.581,+0.977
1583374980,+3.37,+20.654, +8.583,+0.977
1583375040,+3.38,+20.628, +8.589,+0.977
1583375100,+3.38,+20.587, +8.591,+0.977
1583375160,+3.38,+20.570, +8.599,+0.978
1583375220,+3.38,+20.536, +8.604,+0.978
1583375280,+3.38,+20.520, +8.602,+0.978
1583375340,+3.38,+20.503, +8.600,+0.977
1583375400,+3.39,+20.503, +8.601,+0.978
1583375460,+3.39,+20.495, +8.600,+0.978
1583375520,+3.39,+20.495, +8.597,+0.978
1583375580,+3.39,+20.478, +8.590,+0.977
1583375640,+3.39,+20.469, +8.609,+0.979
1583375700,+3.39,+20.469, +8.608,+0.979
1583375760,+3.39,+20.453, +8.602,+0.978
1583375820,+3.39,+20.444, +8.611,+0.979
1583375880,+3.39,+20.453, +8.601,+0.979
1583375940,+3.39,+20.436, +8.595,+0.978
1583376000,+3.40,+20.436, +8.614,+0.979
1583376060,+3.40,+20.444, +8.606,+0.979
1583376120,+3.40,+20.428, +8.603,+0.979
1583376180,+3.40,+20.453, +8.587,+0.978
1583376240,+3.40,+20.428, +8.604,+0.979
1583376300,+3.40,+20.444, +8.597,+0.979
1583376360,+3.40,+20.419, +8.607,+0.979
1583376420,+3.40,+20.436, +8.597,+0.978
1583376480,+3.40,+20.428, +8.596,+0.978
1583376540,+3.40,+20.419, +8.603,+0.979
1583376600,+3.40,+20.411, +8.603,+0.979
1583376660,+3.40,+20.428, +8.600,+0.979
1583376720,+3.40,+20.411, +8.603,+0.979
1583376780,+3.40,+20.428, +8.597,+0.979
1583376840,+3.40,+20.428, +8.600,+0.979
1583376900,+3.40,+20.419, +8.601,+0.979
1583376960,+3.41,+20.428, +8.598,+0.979
1583377020,+3.41,+20.419, +8.600,+0.978
1583377080,+3.41,+20.436, +8.602,+0.979
1583377140,+3.41,+20.428, +8.605,+0.979
1583377200,+3.41,+20.428, +8.608,+0.979
1583377260,+3.41,+20.428, +8.594,+0.978
1583377320,+3.41,+20.436, +8.595,+0.979
1583377380,+3.41,+20.444, +8.598,+0.979
1583377440,+3.41,+20.444, +8.599,+0.979
1583377500,+3.41,+20.428, +8.602,+0.979
1583377560,+3.41,+20.444, +8.601,+0.979
1583377620,+3.41,+20.444, +8.603,+0.979
1583377680,+3.41,+20.436, +8.599,+0.979
1583377740,+3.41,+20.436, +8.599,+0.979
1583377800,+3.41,+20.436, +8.600,+0.979
1583377860,+3.41,+20.444, +8.602,+0.979
1583377920,+3.41,+20.444, +8.607,+0.980
1583377980,+3.41,+20.444, +8.599,+0.979
1583378040,+3.41,+20.436, +8.602,+0.979
1583378100,+3.41,+20.436, +8.610,+0.980
1583378160,+3.41,+20.461, +8.600,+0.979
1583378220,+3.41,+20.453, +8.598,+0.979
1583378280,+3.41,+20.453, +8.592,+0.979
1583378340,+3.41,+20.453, +8.593,+0.979
1583378400,+3.42,+20.428, +8.611,+0.980
1583378460,+3.42,+20.453, +8.601,+0.979
1583378520,+3.42,+20.453, +8.598,+0.979
1583378580,+3.42,+20.461, +8.590,+0.979
1583378640,+3.42,+20.444, +8.596,+0.979
1583378700,+3.42,+20.461, +8.600,+0.979
1583378760,+3.42,+20.453, +8.605,+0.979
1583378820,+3.42,+20.461, +8.597,+0.979
1583378880,+3.42,+20.453, +8.595,+0.979
1583378940,+3.42,+20.453, +8.595,+0.979
1583379000,+3.42,+20.461, +8.598,+0.979
1583379060,+3.42,+20.453, +8.601,+0.979
1583379120,+3.42,+20.461, +8.590,+0.978
1583379180,+3.42,+20.453, +8.598,+0.979
1583379240,+3.42,+20.453, +8.602,+0.979
1583379300,+3.42,+20.453, +8.597,+0.979
1583379360,+3.42,+20.469, +8.589,+0.979
1583379420,+3.42,+20.453, +8.600,+0.979
1583379480,+3.42,+20.461, +8.586,+0.978
