7530-428102
OS REV: 1.05 Sensor Cal: 1572940800
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1583185200, +3.39, +22.919,  +0.56265, +1039.000, +326.000, +144.000
1583185260, +3.40, +23.052, +52.82988, +848.000, +668.000, +1091.000
1583185320, +3.40, +23.211,  +2.55375, -68.000, -744.000, -557.000
1583185380, +3.41, +23.236,  +2.37415, -72.000, -762.000, -570.000
1583185440, +3.41, +23.069,  +0.49143, +911.000, +323.000, -264.000
1583185500, +3.41, +22.852,  +0.53168, -88.000, -820.000, -776.000
1583185560, +3.42, +22.777,  +0.24370, -108.000, -826.000, -648.000
1583185620, +3.42, +22.735, +303.52309, -1216.000, +440.000, +691.000
1583185680, +3.42, +22.492, +65.05210, -900.000, -717.000, -106.000
1583185740, +3.42, +21.965, +73.87736, +1052.000,  +0.000, +264.000
1583185800, +3.42, +21.454, +144.86034, +1120.000, -20.000, +68.000
1583185860, +3.42, +21.001, +177.22274, +1094.000, -12.000, +144.000
1583185920, +3.43, +20.556, +169.07872, +1007.000, -40.000, +248.000
1583185980, +3.43, +20.187, +172.82559, +1024.000, -40.000, +256.000
1583186040, +3.43, +19.850, +98.21651, +1063.000, -16.000, +208.000
1583186100, +3.43, +19.573, +189.80415, +1008.000, -36.000, +249.000
1583186160, +3.43, +19.312, +224.03069, +1027.000, -32.000, +248.000
1583186220, +3.43, +19.085, +225.21049, +1096.000,  +0.000, +120.000
1583186280, +3.43, +18.874, +225.06495, +1103.000,  +3.000, +102.000
1583186340, +3.43, +18.722, +188.06697, +1100.000,  +0.000, +120.000
1583186400, +3.43, +18.562,  +3.77071, +1120.000, -16.000, +67.000
1583186460, +3.43, +18.418,  +4.06798, +1016.000, -36.000, +248.000
1583186520, +3.43, +18.309,  +3.99676, +1120.000,  -8.000, +64.000
1583186580, +3.43, +18.182,  +4.18256, +1008.000, -40.000, +248.000
1583186640, +3.43, +18.072,  +3.81716, +1022.000, -36.000, +252.000
1583186700, +3.43, +17.996,  +3.68710, +1040.000, -32.000, +243.000
1583186760, +3.43, +17.894,  +4.15469, +1103.000,  +6.000, +115.000
1583186820, +3.43, +17.827,  +3.96579, +1110.000, +12.000, +78.000
1583186880, +3.43, +17.776,  +4.12372, +1107.000,  +4.000, +103.000
1583186940, +3.43, +17.700,  +3.82026, +1022.000, -32.000, +252.000
1583187000, +3.43, +17.674,  +3.94721, +1016.000, -36.000, +254.000
1583187060, +3.43, +17.607,  +3.74903, +1027.000, -32.000, +248.000
1583187120, +3.43, +17.556,  +6.49880, +1027.000, -36.000, +248.000
1583187180, +3.43, +17.497,  +6.47712, +1020.000, -32.000, +252.000
1583187240, +3.43, +17.463,  +6.47712, +1038.000, -32.000, +246.000
1583187300, +3.43, +17.446,  +6.47712, +1024.000, -32.000, +249.000
1583187360, +3.43, +17.403,  +6.74962, +1040.000, -26.000, +246.000
1583187420, +3.43, +17.370,  +6.43067, +1022.000, -34.000, +248.000
1583187480, +3.43, +17.344,  +6.42448, +1025.000, -32.000, +248.000
1583187540, +3.43, +17.319,  +6.59789, +1030.000, -32.000, +256.000
1583187600, +3.43, +17.293, +15.32406, +1027.000, -32.000, +252.000
1583187660, +3.43, +17.302, +14.70165, +1030.000, -32.000, +248.000
1583187720, +3.43, +17.251, +15.15685, +1030.000, -32.000, +248.000
1583187780, +3.43, +17.217, +15.34884, +1032.000, -32.000, +246.000
1583187840, +3.43, +17.208, +15.04847, +1039.000, -29.000, +241.000
1583187900, +3.43, +17.191, +15.31168, +1031.000, -29.000, +246.000
1583187960, +3.43, +17.208, +15.02989, +1036.000, -29.000, +240.000
1583188020, +3.43, +17.158, +15.16614, +1030.000, -32.000, +248.000
1583188080, +3.43, +17.158, +15.06395, +1031.000, -32.000, +248.000
1583188140, +3.43, +17.141, +15.03298, +1031.000, -32.000, +248.000
1583188200, +3.43, +17.132, +28.74775, +1031.000, -32.000, +248.000
1583188260, +3.43, +17.107, +25.40654, +1039.000, -32.000, +246.000
1583188320, +3.43, +17.081, +25.85864, +1046.000, -29.000, +244.000
1583188380, +3.43, +17.064, +25.54898, +1036.000, -29.000, +244.000
1583188440, +3.43, +17.056, +25.60782, +1031.000, -32.000, +248.000
1583188500, +3.43, +17.056, +25.45608, +1036.000, -31.000, +248.000
1583188560, +3.43, +17.039, +25.81838, +1036.000, -32.000, +248.000
1583188620, +3.43, +17.039, +25.65736, +1031.000, -31.000, +248.000
1583188680, +3.43, +17.013, +25.44989, +1040.000, -29.000, +240.000
1583188740, +3.43, +17.013, +25.42821, +1033.000, -32.000, +240.000
1583188800, +3.43, +16.996, +40.28562, +1039.000, -31.000, +246.000
1583188860, +3.43, +16.988, +40.20201, +1036.000, -29.000, +246.000
1583188920, +3.43, +16.962, +40.17724, +1024.000, -32.000, +248.000
1583188980, +3.43, +16.979, +40.06267, +1040.000, -32.000, +246.000
1583189040, +3.43, +16.962, +40.36304, +1033.000, -32.000, +248.000
1583189100, +3.43, +16.962, +40.53025, +1036.000, -32.000, +243.000
1583189160, +3.43, +16.962, +40.45593, +1038.000, -32.000, +244.000
1583189220, +3.43, +16.945, +40.59528, +1040.000, -32.000, +240.000
1583189280, +3.43, +16.954, +40.48071, +1038.000, -29.000, +243.000
1583189340, +3.43, +16.937, +40.20511, +1038.000, -31.000, +246.000
1583189400, +3.43, +16.928, +48.57208, +1030.000, -32.000, +248.000
1583189460, +3.43, +16.945, +48.82600, +1031.000, -32.000, +248.000
1583189520, +3.43, +16.928, +48.80432, +1040.000, -32.000, +243.000
1583189580, +3.43, +16.920, +48.63091, +1046.000, -29.000, +240.000
1583189640, +3.43, +16.920, +49.05515, +1040.000, -29.000, +240.000
1583189700, +3.43, +16.937, +48.61233, +1040.000, -29.000, +243.000
1583189760, +3.43, +16.911, +48.74858, +1044.000, -26.000, +240.000
1583189820, +3.43, +16.894, +48.64640, +1046.000, -28.000, +240.000
1583189880, +3.42, +16.920, +48.87245, +1043.000, -26.000, +238.000
1583189940, +3.43, +16.894, +48.92509, +1040.000, -32.000, +243.000
1583190000, +3.42, +16.911, +48.68046, +1046.000, -26.000, +240.000
1583190060, +3.43, +16.920, +48.86625, +1046.000, -26.000, +240.000
1583190120, +3.43, +16.894, +48.76097, +1036.000, -32.000, +248.000
1583190180, +3.42, +16.903, +48.57827, +1040.000, -29.000, +244.000
1583190240, +3.42, +16.911, +48.86935, +1039.000, -32.000, +241.000
1583190300, +3.43, +16.911, +48.79194, +1043.000, -32.000, +240.000
1583190360, +3.42, +16.911, +48.81052, +1038.000, -32.000, +246.000
1583190420, +3.43, +16.911, +48.94367, +1039.000, -29.000, +244.000
1583190480, +3.42, +16.903, +48.81981, +1039.000, -29.000, +241.000
1583190540, +3.42, +16.894, +48.91890, +1038.000, -29.000, +244.000
1583190600, +3.42, +16.903, +49.20069, +1039.000, -29.000, +244.000
1583190660, +3.42, +16.886, +63.15079, +1038.000, -32.000, +243.000
1583190720, +3.42, +16.877, +63.11054, +1038.000, -29.000, +244.000
1583190780, +3.42, +16.911, +63.23131, +1033.000, -32.000, +243.000
1583190840, +3.42, +16.903, +63.68650, +1044.000, -29.000, +243.000
1583190900, +3.42, +16.903, +63.78869, +1036.000, -28.000, +243.000
1583190960, +3.42, +16.920, +63.63696, +1036.000, -32.000, +240.000
1583191020, +3.42, +16.911, +63.85991, +1036.000, -29.000, +248.000
1583191080, +3.42, +16.920, +63.38613, +1040.000, -29.000, +243.000
1583191140, +3.42, +16.911, +63.53787, +1039.000, -32.000, +246.000
1583191200, +3.42, +16.911, +63.57193, +1040.000, -32.000, +246.000
1583191260, +3.42, +16.911, +63.64934, +1043.000, -32.000, +236.000
1583191320, +3.42, +16.894, +63.59670, +1041.000, -32.000, +240.000
1583191380, +3.42, +16.911, +63.94352, +1038.000, -32.000, +243.000
1583191440, +3.42, +16.886, +84.60083, +1039.000, -26.000, +238.000
1583191500, +3.42, +16.894, +84.51412, +1039.000, -32.000, +246.000
1583191560, +3.42, +16.894, +84.49245, +1036.000, -32.000, +243.000
1583191620, +3.42, +16.903, +84.44600, +1039.000, -28.000, +243.000
1583191680, +3.42, +16.894, +84.34691, +1039.000, -29.000, +243.000
1583191740, +3.42, +16.903, +84.36858, +1038.000, -29.000, +248.000
1583191800, +3.42, +16.903, +84.61631, +1032.000, -32.000, +248.000
1583191860, +3.42, +16.945, +93.39512, +1033.000, -32.000, +248.000
1583191920, +3.42, +16.911, +93.47873, +1040.000, -25.000, +243.000
1583191980, +3.42, +16.877, +93.53447, +1038.000, -32.000, +243.000
1583192040, +3.42, +16.920, +93.11334, +1043.000, -29.000, +240.000
1583192100, +3.42, +16.894, +93.32390, +1046.000, -28.000, +238.000
1583192160, +3.42, +16.894, +93.28055, +1043.000, -29.000, +240.000
1583192220, +3.42, +16.903, +93.69240, +1036.000, -32.000, +244.000
1583192280, +3.42, +16.894, +93.07927, +1038.000, -32.000, +246.000
1583192340, +3.42, +16.894, +93.38893, +1040.000, -32.000, +240.000
1583192400, +3.42, +16.903, +93.28984, +1038.000, -32.000, +240.000
1583192460, +3.42, +16.886, +96.91594, +1036.000, -31.000, +248.000
1583192520, +3.42, +16.903, +103.08124, +1038.000, -29.000, +240.000
1583192580, +3.42, +16.911, +103.37851, +1038.000, -29.000, +240.000
