Serial Number:20555847 --

"Date Time, GMT -0800","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2020-03-02 13:30:00,21.83,149, , , , , 
2020-03-02 13:31:00,22.01,162, , , , , 
2020-03-02 13:32:00,22.05,190, , , , , 
2020-03-02 13:33:00,22.18,61, , , , , 
2020-03-02 13:34:00,22.35,50, , , , , 
2020-03-02 13:35:00,22.48,160, , , , , 
2020-03-02 13:36:00,22.61,42, , , , , 
2020-03-02 13:37:00,22.73,84, , , , , 
2020-03-02 13:38:00,22.82,101, , , , , 
2020-03-02 13:39:00,22.86,87, , , , , 
2020-03-02 13:40:00,22.91,41, , , , , 
2020-03-02 13:41:00,22.78,949, , , , , 
2020-03-02 13:42:00,22.22,995, , , , , 
2020-03-02 13:43:00,21.28,983, , , , , 
2020-03-02 13:44:00,20.85,54, , , , , 
2020-03-02 13:45:00,21.62,"1,403", , , , , 
2020-03-02 13:46:00,19.95,980, , , , , 
2020-03-02 13:47:00,19.00,733, , , , , 
2020-03-02 13:48:00,18.57,"1,391", , , , , 
2020-03-02 13:49:00,18.27,803, , , , , 
2020-03-02 13:50:00,18.10,"10,084", , , , , 
2020-03-02 13:51:00,18.10,"1,304", , , , , 
2020-03-02 13:52:00,17.93,817, , , , , 
2020-03-02 13:53:00,17.93,"17,981", , , , , 
2020-03-02 13:54:00,17.84,940, , , , , 
2020-03-02 13:55:00,17.80,"7,537", , , , , 
2020-03-02 13:56:00,17.80,"8,812", , , , , 
2020-03-02 13:57:00,17.80,"8,788", , , , , 
2020-03-02 13:58:00,17.76,"8,832", , , , , 
2020-03-02 13:59:00,17.72,"8,776", , , , , 
2020-03-02 14:00:00,17.63,150, , , , , 
2020-03-02 14:01:00,17.54,150, , , , , 
2020-03-02 14:02:00,17.50,150, , , , , 
2020-03-02 14:03:00,17.50,150, , , , , 
2020-03-02 14:04:00,17.46,151, , , , , 
2020-03-02 14:05:00,17.46,150, , , , , 
2020-03-02 14:06:00,17.41,151, , , , , 
2020-03-02 14:07:00,17.46,151, , , , , 
2020-03-02 14:08:00,17.41,151, , , , , 
2020-03-02 14:09:00,17.37,151, , , , , 
2020-03-02 14:10:00,17.37,151, , , , , 
2020-03-02 14:11:00,17.37,151, , , , , 
2020-03-02 14:12:00,17.37,267, , , , , 
2020-03-02 14:13:00,17.37,267, , , , , 
2020-03-02 14:14:00,17.29,267, , , , , 
2020-03-02 14:15:00,17.29,267, , , , , 
2020-03-02 14:16:00,17.29,267, , , , , 
2020-03-02 14:17:00,17.33,267, , , , , 
2020-03-02 14:18:00,17.33,267, , , , , 
2020-03-02 14:19:00,17.29,267, , , , , 
2020-03-02 14:20:00,17.24,632, , , , , 
2020-03-02 14:21:00,17.29,634, , , , , 
2020-03-02 14:22:00,17.29,634, , , , , 
2020-03-02 14:23:00,17.24,631, , , , , 
2020-03-02 14:24:00,17.24,632, , , , , 
2020-03-02 14:25:00,17.20,636, , , , , 
2020-03-02 14:26:00,17.29,632, , , , , 
2020-03-02 14:27:00,17.20,636, , , , , 
2020-03-02 14:28:00,17.20,636, , , , , 
2020-03-02 14:29:00,17.24,634, , , , , 
2020-03-02 14:30:00,17.20,"1,211", , , , , 
2020-03-02 14:31:00,17.20,"1,084", , , , , 
2020-03-02 14:32:00,17.20,"1,077", , , , , 
2020-03-02 14:33:00,17.20,"1,082", , , , , 
2020-03-02 14:34:00,17.16,"1,079", , , , , 
2020-03-02 14:35:00,17.11,"1,075", , , , , 
2020-03-02 14:36:00,17.16,"1,082", , , , , 
2020-03-02 14:37:00,17.16,"1,081", , , , , 
2020-03-02 14:38:00,17.11,"1,075", , , , , 
2020-03-02 14:39:00,17.11,"1,080", , , , , 
2020-03-02 14:40:00,17.11,"1,711", , , , , 
2020-03-02 14:41:00,17.11,"1,701", , , , , 
2020-03-02 14:42:00,17.16,"1,694", , , , , 
2020-03-02 14:43:00,17.07,"1,705", , , , , 
2020-03-02 14:44:00,17.07,"1,693", , , , , 
2020-03-02 14:45:00,17.11,"1,684", , , , , 
2020-03-02 14:46:00,17.11,"1,706", , , , , 
2020-03-02 14:47:00,17.11,"1,699", , , , , 
2020-03-02 14:48:00,17.11,"1,700", , , , , 
2020-03-02 14:49:00,17.16,"1,706", , , , , 
2020-03-02 14:50:00,17.11,"2,058", , , , , 
2020-03-02 14:51:00,17.16,"2,060", , , , , 
2020-03-02 14:52:00,17.11,"2,062", , , , , 
2020-03-02 14:53:00,17.07,"2,058", , , , , 
2020-03-02 14:54:00,17.11,"2,048", , , , , 
2020-03-02 14:55:00,17.11,"2,051", , , , , 
2020-03-02 14:56:00,17.07,"2,058", , , , , 
2020-03-02 14:57:00,17.07,"2,053", , , , , 
2020-03-02 14:58:00,17.11,"2,053", , , , , 
2020-03-02 14:59:00,17.16,"2,065", , , , , 
2020-03-02 15:00:00,17.11,"2,056", , , , , 
2020-03-02 15:01:00,17.16,"2,056", , , , , 
2020-03-02 15:02:00,17.11,"2,099", , , , , 
2020-03-02 15:03:00,17.16,"2,060", , , , , 
2020-03-02 15:04:00,17.11,"2,070", , , , , 
2020-03-02 15:05:00,17.11,"2,072", , , , , 
2020-03-02 15:06:00,17.16,"2,055", , , , , 
2020-03-02 15:07:00,17.11,"2,063", , , , , 
2020-03-02 15:08:00,17.11,"2,055", , , , , 
2020-03-02 15:09:00,17.11,"2,053", , , , , 
2020-03-02 15:10:00,17.11,"2,058", , , , , 
2020-03-02 15:11:00,17.11,"2,673", , , , , 
2020-03-02 15:12:00,17.16,"2,673", , , , , 
2020-03-02 15:13:00,17.20,"2,661", , , , , 
2020-03-02 15:14:00,17.11,"2,661", , , , , 
2020-03-02 15:15:00,17.16,"2,664", , , , , 
2020-03-02 15:16:00,17.16,"2,675", , , , , 
2020-03-02 15:17:00,17.16,"2,689", , , , , 
2020-03-02 15:18:00,17.11,"2,698", , , , , 
2020-03-02 15:19:00,17.16,"2,716", , , , , 
2020-03-02 15:20:00,17.11,"2,679", , , , , 
2020-03-02 15:21:00,17.11,"2,669", , , , , 
2020-03-02 15:22:00,17.11,"2,688", , , , , 
2020-03-02 15:23:00,17.11,"2,668", , , , , 
2020-03-02 15:24:00,17.11,"3,567", , , , , 
2020-03-02 15:25:00,17.11,"3,557", , , , , 
2020-03-02 15:26:00,17.16,"3,579", , , , , 
2020-03-02 15:27:00,17.24,"3,566", , , , , 
2020-03-02 15:28:00,17.16,"3,571", , , , , 
2020-03-02 15:29:00,17.20,"3,596", , , , , 
2020-03-02 15:30:00,17.20,"3,581", , , , , 
2020-03-02 15:31:00,17.20,"3,951", , , , , 
2020-03-02 15:32:00,17.20,"3,917", , , , , 
2020-03-02 15:33:00,17.16,"3,919", , , , , 
2020-03-02 15:34:00,17.16,"3,965", , , , , 
2020-03-02 15:35:00,17.16,"3,927", , , , , 
2020-03-02 15:36:00,17.16,"3,959", , , , , 
2020-03-02 15:37:00,17.16,"3,959", , , , , 
2020-03-02 15:38:00,17.16,"3,945", , , , , 
2020-03-02 15:39:00,17.16,"3,933", , , , , 
2020-03-02 15:40:00,17.20,"3,951", , , , , 
2020-03-02 15:41:00,17.20,"3,955", , , , , 
2020-03-02 15:42:00,17.20,"4,356", , , , , 
2020-03-02 15:43:00,17.24,"4,352", , , , , 
2020-03-02 15:44:00,17.24,"4,364", , , , , 
2020-03-02 15:45:00,17.24,"4,388", , , , , 
2020-03-02 15:46:00,17.20,"4,398", , , , , 
2020-03-02 15:47:00,17.20,"4,335", , , , , 
2020-03-02 15:48:00,17.20,"4,364", , , , , 
2020-03-02 15:49:00,17.20,"4,360", , , , , 
2020-03-02 15:50:00,17.16,"5,236", , , , , 
2020-03-02 15:51:00,17.20,"5,215", , , , , 
2020-03-02 15:52:00,17.16,"5,236", , , , , 
2020-03-02 15:53:00,17.20,"5,229", , , , , 
2020-03-02 15:54:00,17.24,"5,239", , , , , 
2020-03-02 15:55:00,17.20,"5,211", , , , , 
2020-03-02 15:56:00,17.29,"5,245", , , , , 
2020-03-02 15:57:00,17.24,"5,225", , , , , 
2020-03-02 15:58:00,17.20,"5,245", , , , , 
2020-03-02 15:59:00,17.24,"5,239", , , , , 
2020-03-02 16:00:00,17.24,"5,236", , , , , 
2020-03-02 16:01:00,17.20,"5,271", , , , , 
2020-03-02 16:02:00,17.24,"5,261", , , , , 
2020-03-02 16:03:00,17.20,"5,245", , , , , 
2020-03-02 16:04:00,17.20,"5,219", , , , , 
2020-03-02 16:05:00,17.20,"5,233", , , , , 
2020-03-02 16:06:00,17.20,"5,266", , , , , 
2020-03-02 16:07:00,17.24,"5,266", , , , , 
2020-03-02 16:08:00,17.20,"5,239", , , , , 
2020-03-02 16:09:00,17.24,"5,245", , , , , 
2020-03-02 16:10:00,17.29,"6,118", , , , , 
2020-03-02 16:11:00,17.24,"6,100", , , , , 
2020-03-02 16:12:00,17.24,"6,111", , , , , 
2020-03-02 16:13:00,17.24,"6,108", , , , , 
2020-03-02 16:14:00,17.24,"6,118", , , , , 
2020-03-02 16:15:00,17.24,"6,129", , , , , 
2020-03-02 16:16:00,17.24,"6,106", , , , , 
2020-03-02 16:17:00,17.20,"6,116", , , , , 
2020-03-02 16:18:00,17.20,"6,060", , , , , 
2020-03-02 16:19:00,17.24,"6,077", , , , , 
2020-03-02 16:20:00,17.24,"6,118", , , , , 
2020-03-02 16:21:00,17.16,"6,052", , , , , 
2020-03-02 16:22:00,17.24,"6,108", , , , , 
2020-03-02 16:23:00,17.29,"6,116", , , , , 
2020-03-02 16:24:00,17.29,"6,093", , , , , 
2020-03-02 16:25:00,17.24,"6,093", , , , , 
2020-03-02 16:26:00,17.24,"6,106", , , , , 
2020-03-02 16:27:00,17.29,"6,106", , , , , 
2020-03-02 16:28:00,17.29,"6,090", , , , , 
2020-03-02 16:29:00,17.20,"6,077", , , , , 
2020-03-02 16:30:00,17.20,"6,093", , , , , 
2020-03-02 16:31:00,17.24,"6,118", , , , , 
2020-03-02 16:32:00,17.24,"4,289", , , , , 
2020-03-02 16:33:00,17.20,"4,321", , , , , 
2020-03-02 16:34:00,17.16,"4,293", , , , , 
2020-03-02 16:35:00,17.20,"4,300", , , , , 
2020-03-02 16:36:00,17.20,"4,303", , , , , 
2020-03-02 16:37:00,17.24,"4,275", , , , , 
2020-03-02 16:38:00,17.24,"4,328", , , , , 
2020-03-02 16:39:00,17.24,"4,303", , , , , 
2020-03-02 16:40:00,17.20,"4,380", , , , , 
2020-03-02 16:41:00,17.20,"4,307", , , , , 
2020-03-02 16:42:00,17.20,"4,303", , , , , 
2020-03-02 16:43:00,17.20,"4,884", , , , , 
2020-03-02 16:44:00,17.20,"4,895", , , , , 
2020-03-02 16:45:00,17.20,"4,909", , , , , 
2020-03-02 16:46:00,17.16,"4,870", , , , , 
2020-03-02 16:47:00,17.20,"4,901", , , , , 
2020-03-02 16:48:00,17.20,"4,891", , , , , 
2020-03-02 16:49:00,17.16,"4,891", , , , , 
2020-03-02 16:50:00,17.20,"4,881", , , , , 
2020-03-02 16:51:00,17.24,"4,887", , , , , 
2020-03-02 16:52:00,17.24,"4,870", , , , , 
2020-03-02 16:53:00,17.24,"4,877", , , , , 
2020-03-02 16:54:00,17.20,"4,901", , , , , 
2020-03-02 16:55:00,17.24,"4,856", , , , , 
2020-03-02 16:56:00,17.20,"4,905", , , , , 
2020-03-02 16:57:00,17.24,"4,899", , , , , 
2020-03-02 16:58:00,17.20,"4,929", , , , , 
2020-03-02 16:59:00,17.20,"4,873", , , , , 
2020-03-02 17:00:00,17.20,"4,901", , , , , 
2020-03-02 17:01:00,17.16,"3,962", , , , , 
2020-03-02 17:02:00,17.20,"3,951", , , , , 
2020-03-02 17:03:00,17.16,"3,891", , , , , 
2020-03-02 17:04:00,17.16,"3,846", , , , , 
2020-03-02 17:05:00,17.20,"3,863", , , , , 
2020-03-02 17:06:00,17.16,"3,839", , , , , 
2020-03-02 17:07:00,17.20,"3,853", , , , , 
2020-03-02 17:08:00,17.20,"3,846", , , , , 
2020-03-02 17:09:00,17.20,"3,846", , , , , 
2020-03-02 17:10:00,17.16,"3,853", , , , , 
2020-03-02 17:11:00,17.20,"3,860", , , , , 
2020-03-02 17:12:00,17.20,"3,871", , , , , 
2020-03-02 17:13:00,17.16,"3,849", , , , , 
2020-03-02 17:14:00,17.16,"3,846", , , , , 
